,0
HHI75t99M,0.5383746365405107
FamM,0.45113147934264713
FamI25t34E,-0.5008437002375827
FamIU10P,-0.29598979539558046
PerCapIncE,0.8159141308433008
FamI35t49M,-0.42800812384759274
FamI15t24M,-0.2645021140873524
HHI75t99E,0.3384640403035325
MnNFIncM,0.7892578716074572
FI100t149Z,0.5362508273205925
HHI50t74Z,-0.22534496721837663
FamI25t34M,-0.49538975651340655
Unnamed: 0,-0.17122185726058106
PerEarnZ,-0.25445886563003994
MnSoSecDlM,0.45319832067865173
HHI25t34E,-0.14987233881218173
PerRetIncP,-0.23656233811398322
FamI35t49Z,-0.09515115204118763
MdEFFTWrkE,0.7311015482442096
HHI25t34M,0.21954205084107722
MnFamIncM,0.8510438370344201
MdFamIncM,0.8743943559237809
DCP_Boro,-0.44801524381250313
FamI50t74E,-0.5085379178558395
MdFamIncE,0.669927053551083
FI100t149P,0.030335183580075843
MdEWrkE,0.7254318472067512
FamI200plP,0.7731984740026174
HHIU10E,-0.051275918386176504
HHI50t74M,0.5101366384632496
NFamP,0.7985616111160548
HI150t199E,0.6176895075969443
FamI10t14E,-0.3508913870532875
HHI15t24Z,-0.32119299990702127
HHI200plE,0.7497029826658429
FamI10t14M,-0.31271735069618734
HHI200plZ,0.6844402102325806
Inc_CPbAZ,-0.3797687283337982
HHM,0.6795639609995997
Inc_SpSecE,-0.24883245327458023
Inc_SNAPP,-0.37790903274228027
FamI15t24E,-0.4061267726470883
Inc_SpSecM,-0.06224677158021048
PerSocSecM,0.3841265092842389
HI150t199P,0.4423297769161453
FamI35t49P,-0.5964656863502379
MnSoSecDlE,-0.01852113365750875
FI100t149E,-0.1050277497321514
HHI35t49E,-0.09413249404590847
FamIU10E,-0.34883282854924413
FamI75t99E,-0.3237266564687409
Inc_CPbAM,-0.14977171601860065
HHI10t14Z,-0.2900318153949049
FamI200plE,0.5946125927355719
DolSocSecM,0.5430503906571291
HHI10t14E,-0.08807380561701822
num_rides,1.0
FamI50t74M,-0.46832332691137724
HHI25t34Z,-0.3730789720359067
MnHHIncE,0.7339987870663418
PerEarnM,0.7028861190237556
HHI35t49M,0.29564450220913074
FamI200plM,0.6543520763147344
FamI15t24P,-0.36807171784485
MdHHIncE,0.6051340919498083
MdNFIncE,0.7474770687356181
MdEMFTWrkM,0.578751708535517
PerSocSecZ,-0.36469132705049423
Dol_CPbAM,0.5039309923609409
HHI25t34P,-0.5338253269538209
Inc_CPbAP,-0.3743278023296135
DolSocSecE,0.31260817712847533
HI100t149Z,0.3177179813463169
HHI15t24P,-0.4404240408893727
HHI200plP,0.7737339593818745
FI100t149M,0.25530700117119404
HI100t149M,0.6599857885941999
HI150t199Z,0.39115962160224593
Inc_SpSecP,-0.35341263675976936
FamI75t99M,-0.026927348651656465
MnFamIncE,0.7663257442860144
MdEFFTWrkM,0.6522360957433859
HI100t149P,0.24522456458165773
FamI35t49E,-0.5275386525412008
HHI35t49Z,-0.37981919356850646
FamI50t74P,-0.6627567672510142
FamI50t74Z,-0.08610457514265345
HHIU10Z,-0.24553079049474424
HHI75t99Z,-0.027287506713563437
HHI10t14P,-0.30685501971167717
FamI10t14P,-0.2976137727050335
HHI50t74E,0.1339726660512647
PerRetIncZ,-0.17150687157346262
PerRetIncE,0.10084172353521922
HHI15t24E,-0.12787744214632982
HHI50t74P,-0.5217856654091947
HHP,0.5550840336960237
PerEarnE,0.5949525945471442
FamI75t99P,-0.3272375700058378
NFamM,0.6903133248369311
Inc_CPbAE,-0.29957135081282077
HHIU10M,0.19358589558196931
FamI75t99Z,0.2988558308923653
HHIU10P,-0.2575859976569747
HHE,0.5550840336960237
HI100t149E,0.5098024056158518
FI150t199Z,0.5786143027676455
HI150t199M,0.643112507764591
PerRetIncM,0.3654635342392904
FamP,-0.2334156862933453
FamI25t34Z,-0.29583258090176046
HHI200plM,0.7775329536272096
PerSocSecE,0.15586875857979116
Inc_SNAPM,-0.2098137950428776
FamE,-0.2334156862933453
PerSocSecP,-0.3935056514677873
DolRetIncM,0.6160867128469351
FI150t199M,0.3508299473336231
FamIU10Z,-0.058555383568073306
Inc_SpSecZ,-0.41341880133149894
FamI25t34P,-0.5021374067109149
Inc_SNAPZ,-0.46089041790424645
Dol_CPbAE,0.2064112622126219
MnNFIncE,0.8364818803394987
FamI15t24Z,-0.059501853307351506
MdHHIncM,0.5659967278582823
PerCapIncM,0.8325869305851581
DolEarnM,0.7445578106652911
MdEWrkM,0.6241818300185442
DolRetIncE,0.45777441879142106
MdNFIncM,0.314060863658323
NFamE,0.7985616111160548
DolEarnE,0.7521356945061635
HHI15t24M,0.23922726498816121
MdEMFTWrkE,0.7423198386875278
PUMA_ID,-0.205507484504139
FI150t199P,0.38010166714227783
HHI10t14M,0.12152561654054825
FamI200plZ,0.7944795103236089
HHI35t49P,-0.6256207860577397
PerEarnP,0.3464917034719838
MnHHIncM,0.7925392757372887
Inc_SNAPE,-0.30960149283957245
FamI10t14Z,-0.14058431054382683
Boro,0.11752702512354929
FI150t199E,0.16199898959647538
HHI75t99P,-0.06713040124279054
FamIU10M,-0.26633422054441186
