,0
RetailZ,-0.26021452979668525
PrvWSWrkrM,0.4330103723254343
PrfSMgAWMM,0.7124557836837372
WhlsaleP,0.03151180186412613
GvtWrkrP,-0.5437777529047481
CW_CrpldP,-0.4651763692545025
CW_DrvAlnZ,-0.5159318711384406
WhlsaleM,0.4036351635767462
OthnotPAZ,-0.3637403375558129
Pop16plP,0.21875805166907614
CW_CrpldZ,-0.4981085615120015
F16plCLFEP,0.6275248980290697
PrvWSWrkrE,0.5218113292272664
PubAdminP,-0.39014401546310634
CvEm16plM.2,0.4714904986805958
CvEm16plM.3,0.4714904986805958
PubAdminZ,-0.3294111634193117
PUMA_ID,-0.20550748450413894
Boro,0.1175270251235492
PrdTrnsMMP,-0.5892050507717208
EdHlthCSAZ,-0.21835615980108172
CvEm16plE,0.45318279683373197
SrvcZ,-0.41840350009792127
FIREM,0.7331718362034172
CW_WrkdHmP,0.5708963440668862
OChU6PLFE,-0.3270198631267354
AgFFHME,-0.017309575984762963
CW_DrvAlnP,-0.41458702032549344
F16plCLFEM,0.5305743852223342
CW_WrkdHmE,0.6815813244952212
CW_WlkdZ,0.495336071517916
OChU6PLFP,0.002154347580653874
Pop16plM,0.3020467171242045
SrvcM,-0.18710426727552915
F16plM,0.434808482553547
LFE,0.40534167534279386
TrWHUtM,-0.40301858412483405
PrdTrnsMMZ,-0.5464340774695976
ArtEnRAFSE,0.20516578735448865
Wrkr16plE,0.466150901517953
LFArmdFE,-0.11688953683743875
PrfSMgAWME,0.779753879609356
CW_PbTrnsM,0.4684044982535706
OC6t17PLFZ,0.8211605572135209
OthnotPAP,-0.47503132186080343
UpdFmWrkrM,0.1481688555491599
SlfEmNIncP,0.40244289410470396
CW_PbTrnsE,0.3652633215561571
OChU6PLFM,-0.025811992679329498
F16plE,0.17670176164607412
MnTrvTmE,-0.7795332854143076
OC6t17PLFM,-0.4217111401751127
SalesOffP,-0.3706612149380645
PctUEmZ,-0.3386345934402526
CW_OthZ,0.5427648337336445
F16plCvLFM,0.5385845724889707
CvLFUEmE,-0.21293557678559205
CvEm16plP.2,0.45318279683373197
CW_CrpldM,-0.2551231195612344
UpdFmWrkrE,0.16262993796749767
OthnotPAM,0.07335349611358961
CW_DrvAlnE,-0.31038096710011615
EdHlthCSAE,-0.10320460588127359
PrvWSWrkrZ,-0.30424698779906506
GvtWrkrE,-0.298917766919924
PrfSMgAWMP,0.769445746375511
SrvcP,-0.5805641431018618
LFM,0.43795006734991787
PrvWSWrkrP,0.5140209479348251
CW_CrpldE,-0.29945995268782255
MnfctrngM,0.3741324112408421
LFP,0.603672547246262
F16plLFE,0.3680253125898947
FIREP,0.779379765621606
MnfctrngE,0.1743249565073276
RetailM,0.2790882661158768
OCh6t17M,-0.19641375271613243
CvLFZ,-0.13460426113049145
MnfctrngP,-0.134034650383199
ConstctnM,-0.22415832010408962
SlfEmNIncZ,0.05256206973516414
UpdFmWrkrP,-0.08535425492224322
InfoP,0.6428839323686274
LFArmdFZ,-3.5606416440664537e-17
NLFZ,-0.12653295487768368
EdHlthCSAP,-0.5286879528917253
CvLFUEmM,-0.04945118199330813
CvEm16plE.3,0.45318279683373197
OCh6t17P,-0.5143300108829562
CvEm16plP.1,0.45318279683373197
TrWHUtZ,-0.5558821516107476
LFArmdFM,-0.08468250510378254
F16plLFM,0.5381474103223629
InfoM,0.6616964426362447
PrdTrnsMME,-0.39762701218757335
SlfEmNIncE,0.5594172671933691
NRCnstMntE,-0.39898264438016595
ArtEnRAFSP,-0.03622778560262375
OC6t17PLFE,-0.5126904057398535
CvLFP,0.6039598918597329
DCP_Boro,-0.4480152438125033
PctUEmP,-0.44458155143399264
GvtWrkrZ,-0.4326677344341278
F16plCvLFZ,0.11976894442649046
SalesOffM,0.3760389658214782
CvLFP.1,0.40567505458296604
ConstctnZ,-0.4901187098465144
UpdFmWrkrZ,0.022444406551429298
NRCnstMntP,-0.5650237470604028
CvLFE,0.40567505458296604
F16plCvLFP,0.5755781532479859
CvLFUEmP,-0.367232475325378
CvLFE.1,0.40567505458296604
CvEm16plE.1,0.45318279683373197
SrvcE,-0.4094291766572377
CW_WrkdHmZ,0.35436594351702794
F16plLFP,0.5754220994752436
ArtEnRAFSM,0.3548531785086677
ArtEnRAFSZ,-0.043713979445666094
OthnotPAE,-0.10463473446589062
CW_WrkdHmM,0.6659376438074983
CW_WlkdE,0.8681625620295553
EdHlthCSAM,0.2926448344700704
InfoZ,0.5315243064206691
OChU6E,-0.2941115630025835
CvEm16plM,0.4714904986805958
NRCnstMntZ,-0.5764008962250451
SlfEmNIncM,0.5649621304553539
Wrkr16plM,0.49814273585479424
WhlsaleZ,-0.01878257116511917
OChU6PLFZ,0.6241501157908423
CvLFUEmZ,-0.1764083986599176
SalesOffE,0.2727846116964094
CvLFM.1,0.44027874958544044
GvtWrkrM,-0.18702752150537388
CW_OthP,0.7821217743640081
F16plCLFEZ,0.13763163664007133
PrdTrnsMMM,-0.3635394384259284
CvEm16plM.1,0.4714904986805958
RetailP,-0.46972005381198634
F16plCLFEE,0.40851550525484553
NLFM,0.03977725069928152
OChU6P,-0.2941115630025835
CvEm16plZ,-0.04873371341981601
Pop16plE,0.21875805166907614
PubAdminE,-0.15161818157942128
OC6t17PLFP,-0.0777198183648737
F16plP,0.17670176164607412
MgBSciArtZ,0.00021810045505869785
TrWHUtE,-0.3956508032301782
CW_WlkdM,0.7934340880565957
F16plLFZ,0.11976894442649046
CvLFM,0.44027874958544044
MnTrvTmM,-0.3863327426075813
MgBSciArtP,0.6500761216173766
