1,105
2,8
3,3684
4,89319
5,26
6,662
7,90870
8,369
9,3040
10,6812
11,3559
12,2579
13,139993
14,35927
15,3229
16,8880
17,80312
18,6579
19,3026
20,9153
21,8409
22,10456
23,925
24,23717
25,69154
26,15760
27,114
28,11901
29,4434
30,64
31,2299
32,4031
33,77788
34,10294
35,9889
36,77482
37,106234
38,2209
39,15382
40,42831
41,64767
42,63011
43,45720
44,37
45,43624
46,321
47,4294
48,257091
49,89762
50,149228
51,4078
52,25702
53,3598
54,12364
55,5164
56,8367
57,675
58,684
59,156
60,2619
61,105591
62,24690
63,5801
64,2786
65,54613
66,52649
67,9325
68,299781
69,8228
70,12137
71,12375
72,13905
73,3668
74,50284
75,51544
76,15727
77,4748
78,5291
79,407591
80,118640
81,3071
82,22671
83,8841
84,39
85,10336
86,548
87,154994
88,57803
89,46445
90,225098
91,15373
92,18896
93,5465
94,2513
95,41370
96,550
97,74649
98,3990
99,9
100,157241
101,1953
102,8996
105,12
106,38124
107,251499
108,3848
109,143
110,2
111,290
112,137519
113,246390
114,206420
115,511
116,34290
117,808
118,764
119,6203
120,453
121,13667
122,1806
123,17493
124,5189
125,125469
126,3051
127,15138
128,1200
129,36749
130,15537
131,6552
132,289169
133,12358
134,11798
135,11014
136,4215
137,123537
138,266119
139,2867
140,126905
141,198226
142,198052
143,113670
144,255202
145,80520
146,20579
147,2802
148,252805
149,8342
150,4549
151,58730
152,17802
153,2919
154,684
155,8954
156,450
157,14201
158,267480
159,5901
160,11314
161,460732
162,285518
163,296734
164,267871
165,17980
166,56475
167,5487
168,11582
169,5681
170,290550
171,6251
172,219
173,4179
174,6870
175,3715
176,170
177,13104
178,7593
179,27253
180,5184
181,160037
182,3999
183,2377
184,478
185,7209
186,195698
187,189
188,39490
189,54928
190,7865
191,5431
192,5571
193,5355
194,2257
195,22458
196,12370
197,11232
198,25198
200,15837
201,448
202,3011
203,3103
204,24
205,5225
206,414
207,387
208,4454
209,50361
210,7277
211,232871
212,3411
213,5111
214,692
215,3922
216,11025
217,8080
218,3332
219,3960
220,15303
221,614
222,2348
223,46610
224,73119
225,59136
226,54830
227,9624
228,33394
229,171662
230,315919
231,420356
232,74274
233,143451
234,419045
235,6154
236,229344
237,284514
238,133828
239,185741
240,1416
241,8430
242,7261
243,35881
244,49303
245,435
246,279100
247,13381
248,3605
249,323989
250,4360
251,634
252,5199
253,815
254,4979
255,217938
256,141357
257,21460
258,10059
259,3588
260,20369
261,67904
262,108338
263,133630
